,,,,,,,,,,,,,,
Arizona,0.414286,4661537,,Atlanta,5789700,0.293,,,,,,,,
Boston,0.714286,4794447,,Boston,4794447,0.671,,city,,,,city,,
Buffalo,0.357143,1132804,,Charlotte,2474314,0.439,,Arizona,4661537,0.506,,Arizona,4661537,0.188
Calgary,0.513889,1392609,,Chicago,9512999,0.329,,Atlanta,5789700,0.556,,Atlanta,5789700,0.438
Carolina,0.507042,1302946,,Cleveland,2055612,0.61,,Baltimore,2798886,0.29,,Baltimore,2798886,0.625
Chicago,0.458333,9512999,,Dallas,7233323,0.293,,Boston,4794447,0.667,,Buffalo,1132804,0.375
Colorado,0.589041,2853077,,Denver,2853077,0.561,,Chicago,9512999,0.483,,Carolina,2474314,0.438
Columbus,0.6,2041520,,Detroit,4297617,0.476,,Cincinnati,2165139,0.414,,Chicago,9512999,0.75
Dallas,0.567568,7233323,,Golden State,6657982,0.707,,Cleveland,2055612,0.562,,Cincinnati,2165139,0.375
Detroit,0.434783,4297617,,Houston,6772470,0.793,,Colorado,2853077,0.558,,Cleveland,2055612,0.469
Edmonton,0.473684,1321426,,Indiana,2004230,0.585,,Detroit,4297617,0.395,,Dallas,7233323,0.625
Florida,0.594595,6066387,,Los Angeles,13310447,0.4695,,Houston,6772470,0.636,,Denver,2853077,0.375
Los Angeles,0.622895,13310447,,Memphis,1342842,0.268,,Kansas City,2104509,0.358,,Detroit,4297617,0.375
Montreal,0.42029,4098927,,Miami,6066387,0.537,,Los Angeles,13310447,0.529,,Green Bay,318236,0.406
Nashville,0.746479,1865298,,Milwaukee,1572482,0.537,,Miami,6066387,0.391,,Houston,6772470,0.688
New York,0.518201,20153634,,Minnesota,3551036,0.573,,Milwaukee,1572482,0.589,,Indianapolis,2004230,0.625
Ottawa,0.394366,1323783,,New Orleans,1268883,0.585,,Minnesota,3551036,0.481,,Jacksonville,1478212,0.313
Philadelphia,0.617647,6070500,,New York,20153634,0.3475,,New York,20153634,0.546,,Kansas City,2104509,0.75
Pittsburgh,0.618421,2342299,,Oklahoma City,1373211,0.585,,Oakland,6657982,0.525,,Los Angeles,13310447,0.7815
St. Louis,0.578947,2807002,,Orlando,2441257,0.305,,Philadelphia,6070500,0.494,,Miami,6066387,0.438
Tampa Bay,0.701299,3032171,,Philadelphia,6070500,0.634,,Pittsburgh,2342299,0.509,,Minnesota,3551036,0.531
Toronto,0.653333,5928040,,Phoenix,4661537,0.256,,San Diego,3317749,0.407,,New England,4794447,0.688
Vancouver,0.43662,2463431,,Portland,2424955,0.598,,Seattle,3798902,0.549,,New Orleans,1268883,0.813
Vegas,0.68,2155664,,Sacramento,2296418,0.329,,St. Louis,2807002,0.543,,New York,20153634,0.2815
Washington,0.653333,6131977,,San Antonio,2429609,0.573,,Tampa Bay,3032171,0.556,,Philadelphia,6070500,0.563
Winnipeg,0.722222,778489,,Toronto,5928040,0.72,,Texas,7233323,0.414,,Pittsburgh,2342299,0.594
,,,,Utah,1186187,0.585,,Toronto,5928040,0.451,,San Francisco,6657982,0.25
,,,,Washington,6131977,0.524,,Washington,6131977,,,Seattle,3798902,0.625
,,,,,,,,,,,,Tampa Bay,3032171,0.313
NHL CITY,,,,,,,,,,,,Tennessee,1865298,0.563
,,,,NBA CITY,,,,MLB City ,,,,Washington,6131977,0.438
,,,,,,,,,,,,,,
,,,,,,,,,,,,,NFL city,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,