Year,Household Income by Race,Household Income by Race Moe,Geography,ID Geography
2018,60293,140,United States,01000US
2018,54938,166,Michigan,04000US26
2018,69434,1194,"Washtenaw County, MI",05000US26161
2018,69434,1194,"Ann Arbor, MI",31000US11460
2018,90380,2484,"Washtenaw County (West, Northeast & Southeast) PUMA, MI",79500US2602701
2018,64423,1797,"Ann Arbor City Area PUMA, MI",79500US2602702
2018,57917,2066,"Washtenaw County (East Central, Outside Ann Arbor City) PUMA, MI",79500US2602703
2017,57652,138,United States,01000US
2017,52668,180,Michigan,04000US26
2017,65618,1092,"Washtenaw County, MI",05000US26161
2017,65618,1092,"Ann Arbor, MI",31000US11460
2017,86026,2662,"Washtenaw County (West, Northeast & Southeast) PUMA, MI",79500US2602701
2017,61638,1889,"Ann Arbor City Area PUMA, MI",79500US2602702
2017,54322,1675,"Washtenaw County (East Central, Outside Ann Arbor City) PUMA, MI",79500US2602703
2016,55322,120,United States,01000US
2016,50803,162,Michigan,04000US26
2016,62484,984,"Washtenaw County, MI",05000US26161
2016,62484,984,"Ann Arbor, MI",31000US11460
2016,83056,2751,"Washtenaw County (West, Northeast & Southeast) PUMA, MI",79500US2602701
2016,58176,2153,"Ann Arbor City Area PUMA, MI",79500US2602702
2016,51720,1135,"Washtenaw County (East Central, Outside Ann Arbor City) PUMA, MI",79500US2602703
2015,53889,110,United States,01000US
2015,49576,186,Michigan,04000US26
2015,61003,901,"Washtenaw County, MI",05000US26161
2015,61003,901,"Ann Arbor, MI",31000US11460
2015,81341,2388,"Washtenaw County (West, Northeast & Southeast) PUMA, MI",79500US2602701
2015,56318,1253,"Ann Arbor City Area PUMA, MI",79500US2602702
2015,50803,1155,"Washtenaw County (East Central, Outside Ann Arbor City) PUMA, MI",79500US2602703
2014,53482,95,United States,01000US
2014,49087,192,Michigan,04000US26
2014,60805,958,"Washtenaw County, MI",05000US26161
2014,60805,958,"Ann Arbor, MI",31000US11460
2014,79298,2734,"Washtenaw County (West, Northeast & Southeast) PUMA, MI",79500US2602701
2014,57157,1399,"Ann Arbor City Area PUMA, MI",79500US2602702
2014,50805,1228,"Washtenaw County (East Central, Outside Ann Arbor City) PUMA, MI",79500US2602703
2013,53046,89,United States,01000US
2013,48411,163,Michigan,04000US26
2013,59055,985,"Washtenaw County, MI",05000US26161
2013,59055,985,"Ann Arbor, MI",31000US11460
2013,77230,3052,"Washtenaw County (West, Northeast & Southeast) PUMA, MI",79500US2602701
2013,55471,1804,"Ann Arbor City Area PUMA, MI",79500US2602702
2013,50369,1535,"Washtenaw County (East Central, Outside Ann Arbor City) PUMA, MI",79500US2602703